GSS_CD,county_UA,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020
E06000033,Southend-on-Sea,1,2,2,3,3,4,5,4,5
E09000028,Southwark,11,13,28,30,33,58,70,82,110
E08000013,St. Helens,0,0,1,1,1,2,2,2,2
E10000028,Staffordshire,4,4,4,6,7,10,14,18,25
E08000007,Stockport,0,2,3,3,3,10,10,13,21
E06000004,Stockton-on-Tees,2,2,2,2,2,3,6,9,9
E06000021,Stoke-on-Trent,0,0,0,0,0,0,1,2,2
E10000029,Suffolk,1,1,1,3,3,3,10,13,13
E08000024,Sunderland,1,1,1,1,1,1,3,4,5
E10000030,Surrey,13,16,15,23,25,30,39,45,57
E09000029,Sutton,5,6,6,7,11,10,12,14,19
E06000030,Swindon,2,2,2,2,2,2,3,4,5
E08000008,Tameside,1,1,2,3,3,10,12,14,19
E06000020,Telford and Wrekin,0,0,0,0,0,0,0,0,0
E06000034,Thurrock,0,0,0,1,1,1,2,3,6
E06000027,Torbay,7,7,7,7,7,6,6,8,10
E09000030,Tower Hamlets,6,6,8,9,12,23,25,33,43
E08000009,Trafford,4,5,7,6,7,12,14,13,15
E08000036,Wakefield,0,0,1,2,3,4,5,6,6
E08000030,Walsall,0,1,1,5,11,13,14,16,20
E09000031,Waltham Forest,1,1,2,2,4,7,14,17,23
E09000032,Wandsworth,7,7,9,17,20,21,59,75,98
E06000007,Warrington,1,1,1,1,1,3,4,4,4
E10000031,Warwickshire,4,4,4,5,4,4,10,11,13
E06000037,West Berkshire,0,1,3,3,3,3,3,3,6
E10000032,West Sussex,3,4,6,7,5,10,10,16,19
E09000033,Westminster,12,13,24,35,37,58,68,78,99
E08000010,Wigan,3,3,3,3,3,4,4,4,6
E06000054,Wiltshire,4,4,5,5,7,7,9,12,17
E06000040,Windsor and Maidenhead,1,4,5,6,6,9,10,13,13
E08000015,Wirral,4,5,5,5,5,6,8,8,9
E06000041,Wokingham,3,4,6,5,6,8,10,9,12
E08000031,Wolverhampton,4,8,9,8,11,18,22,28,39
E10000034,Worcestershire,0,2,2,3,3,1,5,8,10
E06000014,York,3,4,4,4,4,3,4,5,6
