country,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020
England ,280,324,387,491,645,925,1099,1196,1557,2182,2756,3384,4257,4792,5585,6843,7973,9782,12288,14427,16487,18594,21008,24638,28221,31797,34707,39814,42990
Scotland,0,27,36,60,85,121,153,171,195,227,266,322,373,416,499,584,719,894,1059,1245,1384,1563,1993,2310,2602,3001,3345,3706,3961
Wales,0,6,15,25,38,60,94,124,136,149,170,191,280,347,418,478,628,741,921,1093,1241,1451,1563,1837,2121,2466,2853,3197,3499
Northern Ireland,0,16,18,19,29,34,45,52,62,68,77,86,108,128,148,172,209,241,275,324,410,533,586,689,774,904,998,1089,1158
