date,type,number
2020-03-19,new_cases,643
2020-03-20,new_cases,714
2020-03-21,new_cases,1035
2020-03-22,new_cases,665
2020-03-23,new_cases,967
2020-03-24,new_cases,1427
2020-03-25,new_cases,1452
2020-03-26,new_cases,2129
2020-03-27,new_cases,2885
2020-03-28,new_cases,2546
2020-03-29,new_cases,2433
2020-03-30,new_cases,2619
2020-03-31,new_cases,3009
2020-04-01,new_cases,4324
2020-04-02,new_cases,4244
2020-04-03,new_cases,4450
2020-04-04,new_cases,3735
2020-04-05,new_cases,5903
2020-04-06,new_cases,3802
2020-04-07,new_cases,3634
2020-04-08,new_cases,5491
2020-04-09,new_cases,4344
2020-04-10,new_cases,5195
2020-04-11,new_cases,8719
2020-01-22,new_deaths,0
2020-01-23,new_deaths,0
2020-01-24,new_deaths,0
2020-01-25,new_deaths,0
2020-01-26,new_deaths,0
2020-01-27,new_deaths,0
2020-01-28,new_deaths,0
2020-01-29,new_deaths,0
2020-01-30,new_deaths,0
2020-01-31,new_deaths,0
2020-02-01,new_deaths,0
2020-02-02,new_deaths,0
2020-02-03,new_deaths,0
2020-02-04,new_deaths,0
2020-02-05,new_deaths,0
2020-02-06,new_deaths,0
2020-02-07,new_deaths,0
2020-02-08,new_deaths,0
2020-02-09,new_deaths,0
2020-02-10,new_deaths,0
2020-02-11,new_deaths,0
2020-02-12,new_deaths,0
2020-02-13,new_deaths,0
2020-02-14,new_deaths,0
2020-02-15,new_deaths,0
2020-02-16,new_deaths,0
2020-02-17,new_deaths,0
2020-02-18,new_deaths,0
2020-02-19,new_deaths,0
2020-02-20,new_deaths,0
2020-02-21,new_deaths,0
2020-02-22,new_deaths,0
2020-02-23,new_deaths,0
2020-02-24,new_deaths,0
2020-02-25,new_deaths,0
2020-02-26,new_deaths,0
2020-02-27,new_deaths,0
2020-02-28,new_deaths,0
2020-02-29,new_deaths,0
2020-03-01,new_deaths,0
2020-03-02,new_deaths,0
2020-03-03,new_deaths,0
2020-03-04,new_deaths,0
2020-03-05,new_deaths,1
2020-03-06,new_deaths,1
2020-03-07,new_deaths,0
2020-03-08,new_deaths,1
2020-03-09,new_deaths,1
2020-03-10,new_deaths,2
2020-03-11,new_deaths,2
2020-03-12,new_deaths,1
2020-03-13,new_deaths,2
2020-03-14,new_deaths,10
2020-03-15,new_deaths,14
2020-03-16,new_deaths,20
2020-03-17,new_deaths,16
2020-03-18,new_deaths,32
2020-03-19,new_deaths,41
2020-03-20,new_deaths,33
2020-03-21,new_deaths,56
2020-03-22,new_deaths,48
2020-03-23,new_deaths,54
2020-03-24,new_deaths,87
2020-03-25,new_deaths,41
2020-03-26,new_deaths,115
2020-03-27,new_deaths,181
2020-03-28,new_deaths,260
2020-03-29,new_deaths,209
2020-03-30,new_deaths,180
2020-03-31,new_deaths,381
2020-04-01,new_deaths,563
2020-04-02,new_deaths,569
2020-04-03,new_deaths,684
2020-04-04,new_deaths,708
2020-04-05,new_deaths,621
2020-04-06,new_deaths,439
2020-04-07,new_deaths,786
2020-04-08,new_deaths,938
2020-04-09,new_deaths,881
2020-04-10,new_deaths,980
2020-04-11,new_deaths,917
